Biblical Citation,Variants,Ar. 115,Ar. 106,Ar. 69,Ar. 84,Ar. 82,Ar. 89,Ar. 90,Ar. 91,Ar. 80,Ar. 76
13:45,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
13:47,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
13:52,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
16:19,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",4. malkūt al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
18:1,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
18:3,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
18:4,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,3. malkūt al-samāʾ,1. mulk al-samāʾ,2. mulk al-samawāt
18:23,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
19:12,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
19:14,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
19:23,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
19:24,"1. mulk ʾallāh, 2. malkūt ʾallāh, 3. malkūt al-samāʾ, 5. mulk al-samawāt, 4. malkūt al-samawāt",2. malkūt ʾallāh,2. malkūt ʾallāh,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh,1. mulk ʾallāh
20:1,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
21:31,"1. mulk ʾallāh, 2. malkūt ʾallāh, 3. malkūt al-samāʾ",2. malkūt ʾallāh,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. malkūt ʾallāh,3. malkūt al-samāʾ,2. malkūt ʾallāh
21:43,"1. mulk ʾallāh, 2. malkūt ʾallāh, 3. malkūt al-samāʾ",2. malkūt ʾallāh,3. malkūt al-samāʾ,2. malkūt ʾallāh,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. malkūt ʾallāh,3. malkūt al-samāʾ,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh
22:2,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
23:13,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
25:1,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
